,prompt
125,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i only had. nap. quick naps i not know it is.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i only had a quick. a quick nap. a quick nap i do not know it is fine."
126,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i want bring my. bmw. risk it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i would not would not want to bring my. bmw up there. do not risk it."
127,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
er ebola carry by mosquito. it it. we.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is er is ebola carried by mosquitos. it is not it. could we not."
128,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah bits more yeah it. we got. you have kinds you altering biodiversities.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah bit more then yeah it is alright. we have got. you have to be careful kind of do not you altering the biodiversity."
129,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
panna cottas. i would have think putting it a. mm i would.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
nice panna cotta. i would not have thought of putting it with a sweet. mm i would not."
130,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
so they buying. who would be i that the i heard it. oh i tell you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so they are buying. who would be i that is the first i have heard of it. oh have i not told you."
131,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah those all recordings. sat here the tables. you putting their cardigan.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah that is all on recording. just sat here at the table. are you putting my cardigan on now."
132,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this alright darlings. you take cardigan mum. no you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is that alright darling. are you taking the cardigan mum. no are you."
133,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you park. suppose they. you want drive there though you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you can park. suppose they must. you would not want to drive up there though would you."
134,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that things. not produce cvs and look works. look for opportunities.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is the thing. do not produce a cv and then look for work. look for the opportunities."
135,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i agree you. because i think it depend types employers do it. and opportunity.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i would agree with you. because i think it depends on the type of employer does not it. and the opportunity."
136,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you already have leave university. and have. accesses e mail.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you might have already have left the university. and not have. access to e mails."
137,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and er and it something that. for industry that you. things medicines it necessary.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and er and is it something that is necessary. for the industry that you are. things like medicine would it be necessary."
138,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh it. it. heated seats.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh is it warm. it is from. a heated seat."
139,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
fanta being fantas. fanta mysteriously turn seven up. yeah where orange go.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
fanta not being fanta. the fanta mysteriously turning into seven up. yeah where did that orange go."
140,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you have onions rings. i had two. i have three.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
have you had any onion rings. i have had two. i have had three."
